
Actual	TamChar	Missed#	TotalInDataSet	Misclassified as (class, count)
131      க்ஷூ    80      159     [(80, 39), (126, 32), (128, 3), (76, 2), (125, 1)]
125      ஹு      76      166     [(79, 67), (130, 5), (56, 2), (121, 1), (77, 1)]
128      ஷூ      76      156     [(77, 45), (123, 27), (130, 1), (129, 1), (125, 1)]
123      ஷு      75      152     [(77, 62), (128, 8), (125, 3), (54, 1), (31, 1)]
130      ஹூ      74      157     [(79, 45), (125, 26), (56, 2), (128, 1)]
126      க்ஷு    72      166     [(80, 61), (131, 4), (125, 2), (154, 1), (127, 1)]
127      ஸூ      72      162     [(76, 36), (122, 33), (53, 2), (70, 1)]
122      ஸு      68      157     [(76, 57), (127, 7), (53, 2), (116, 1), (70, 1)]
32       ஜ       65      176     [(8, 64), (28, 1)]
129      ஜூ      59      104     [(78, 43), (124, 13), (76, 1), (74, 1), (17, 1)]
124      ஜு      57      104     [(78, 54), (152, 1), (129, 1), (32, 1)]
80       க்ஷீ    46      178     [(126, 30), (131, 3), (154, 2), (77, 2), (76, 2)]
8        ஐ       34      178     [(32, 33), (93, 1)]
77       ஷீ      34      179     [(123, 16), (128, 4), (79, 3), (71, 2), (54, 2)]
92       ரு      33      183     [(85, 8), (110, 7), (15, 6), (96, 4), (101, 2)]
79       ஹீ      32      177     [(125, 24), (130, 5), (56, 2), (153, 1)]
10       ஓ       31      173     [(9, 23), (112, 3), (7, 3), (15, 2)]
95       ழு      30      168     [(90, 20), (26, 5), (109, 2), (108, 1), (107, 1)]
108      மூ      27      182     [(113, 14), (90, 8), (103, 3), (95, 2)]
9        ஒ       24      172     [(10, 9), (7, 9), (15, 4), (119, 1), (23, 1)]
88       நு      24      175     [(97, 16), (13, 3), (87, 2), (106, 1), (98, 1)]
65       நீ      23      167     [(61, 6), (73, 5), (69, 3), (74, 2), (139, 1)]
29       ன       22      175     [(120, 14), (27, 7), (75, 1)]
76       ஸீ      22      177     [(122, 15), (127, 5), (150, 1), (53, 1)]
42       நி      21      177     [(50, 5), (46, 5), (65, 2), (51, 2), (38, 2)]
139      ந்      19      165     [(148, 11), (135, 4), (138, 2), (146, 1), (103, 1)]
19       ந       19      166     [(28, 12), (107, 2), (117, 1), (26, 1), (23, 1)]
110      ரூ      18      179     [(114, 6), (103, 3), (61, 3), (101, 2), (96, 2)]
113      ழூ      18      141     [(108, 8), (95, 6), (26, 2), (110, 1), (107, 1)]
57       க்ஷி    18      162     [(126, 4), (54, 4), (80, 3), (53, 3), (56, 1)]
114      ளூ      16      165     [(96, 15), (98, 1)]
71       வீ      16      175     [(70, 10), (48, 4), (145, 1), (59, 1)]
41       தி      15      179     [(47, 5), (18, 4), (138, 1), (64, 1), (51, 1)]
62       டீ      15      180     [(39, 7), (66, 6), (141, 1), (5, 1)]
82       ஙு      15      170     [(94, 8), (36, 2), (31, 2), (13, 2), (100, 1)]
75       னீ      15      179     [(73, 8), (52, 4), (63, 2), (70, 1)]
106      நூ      15      179     [(115, 9), (102, 3), (51, 2), (105, 1)]
35       கி      14      174     [(37, 5), (58, 3), (2, 3), (55, 1), (47, 1)]
100      ஙூ      14      164     [(88, 5), (112, 4), (82, 3), (109, 1), (9, 1)]
49       ழி      14      177     [(45, 5), (54, 2), (44, 2), (26, 2), (95, 1)]
145      வ்      13      177     [(144, 12), (71, 1)]
44       மி      13      180     [(85, 4), (67, 4), (103, 1), (49, 1), (48, 1)]
37       சி      13      181     [(60, 6), (35, 2), (14, 2), (51, 1), (44, 1)]
25       வ       13      178     [(24, 12), (20, 1)]
59       ஙீ      13      172     [(71, 5), (36, 3), (145, 2), (76, 1), (65, 1)]
58       கீ      12      175     [(35, 11), (60, 1)]
51       றி      12      181     [(46, 3), (28, 3), (74, 2), (56, 1), (55, 1)]
101      சூ      12      179     [(1, 3), (92, 2), (81, 2), (114, 1), (96, 1)]
52       னி      12      182     [(50, 7), (75, 1), (47, 1), (40, 1), (29, 1)]
38       ஞி      12      177     [(42, 6), (61, 3), (15, 2), (47, 1)]
149      ன்      12      182     [(147, 7), (29, 3), (150, 1), (120, 1)]
84       ஞு      11      170     [(102, 5), (88, 4), (98, 2)]
107      பூ      11      182     [(109, 4), (26, 4), (95, 3)]
151      ஷ்      11      169     [(153, 3), (144, 3), (148, 2), (123, 1), (77, 1)]
50       ளி      11      182     [(52, 4), (27, 3), (47, 2), (48, 1), (29, 1)]
90       மு      11      181     [(95, 8), (108, 3)]
36       ஙி      10      159     [(59, 5), (53, 2), (71, 1), (48, 1), (42, 1)]
137      ண்      10      181     [(149, 5), (63, 2), (17, 2), (147, 1)]
133      ங்      10      163     [(150, 6), (145, 1), (139, 1), (59, 1), (36, 1)]
13       ங       10      167     [(88, 3), (97, 2), (82, 2), (59, 1), (25, 1)]
54       ஷி      10      175     [(77, 2), (123, 1), (56, 1), (55, 1), (53, 1)]
48       வி      10      179     [(47, 10)]
117      ா       10      178     [(6, 7), (118, 1), (89, 1), (69, 1)]
96       ளு      10      177     [(114, 3), (92, 2), (98, 1), (33, 1), (28, 1)]
63       ணீ      10      177     [(40, 9), (75, 1)]
39       டி      10      174     [(43, 4), (31, 2), (21, 2), (118, 1), (26, 1)]
61       ஞீ      9       182     [(65, 4), (38, 3), (15, 2)]
34       க்ஷ     9       170     [(82, 2), (150, 1), (127, 1), (100, 1), (91, 1)]
116      னூ      9       180     [(104, 7), (115, 2)]
31       ஷ       9       166     [(39, 3), (32, 2), (94, 1), (33, 1), (9, 1)]
56       ஹி      9       180     [(125, 6), (79, 2), (50, 1)]
102      ஞூ      9       168     [(106, 6), (116, 3)]
60       சீ      9       179     [(37, 4), (58, 2), (14, 2), (74, 1)]
26       ழ       9       171     [(39, 7), (146, 1), (107, 1)]
120      ை       9       176     [(29, 6), (27, 2), (47, 1)]
64       தீ      8       168     [(71, 2), (70, 2), (69, 1), (65, 1), (58, 1)]
78       ஜீ      8       101     [(124, 7), (54, 1)]
27       ள       8       178     [(29, 8)]
94       வு      8       182     [(31, 2), (29, 2), (24, 2), (89, 1), (0, 1)]
112      வூ      8       179     [(9, 3), (10, 2), (107, 1), (94, 1), (1, 1)]
23       ர       7       182     [(117, 3), (7, 2), (69, 1), (28, 1)]
142      ய்      7       182     [(22, 3), (68, 2), (140, 1), (11, 1)]
98       னு      7       182     [(97, 3), (116, 1), (86, 1), (25, 1), (9, 1)]
2        இ       7       183     [(81, 2), (35, 2), (129, 1), (47, 1), (18, 1)]
17       ண       6       182     [(29, 4), (27, 2)]
40       ணி      6       173     [(52, 4), (63, 2)]
1        ஆ       6       182     [(101, 3), (0, 2), (112, 1)]
81       கு      6       182     [(85, 2), (118, 1), (92, 1), (39, 1), (15, 1)]
111      லூ      6       180     [(116, 4), (102, 2)]
121      ஸ்ரீ    6       172     [(114, 2), (79, 2), (146, 1), (72, 1)]
147      ள்      6       177     [(149, 6)]
132      க்      6       180     [(134, 4), (141, 1), (58, 1)]
135      ஞ்      6       179     [(139, 4), (15, 1), (1, 1)]
47       லி      5       181     [(48, 4), (24, 1)]
53       ஸி      5       176     [(122, 2), (76, 1), (47, 1), (30, 1)]
55       ஜி      5       102     [(51, 2), (124, 1), (115, 1), (78, 1)]
66       பீ      5       179     [(43, 3), (67, 1), (62, 1)]
73       ளீ      5       178     [(50, 3), (76, 1), (63, 1)]
69       ரீ      5       178     [(46, 2), (143, 1), (74, 1), (68, 1)]
144      ல்      4       182     [(24, 3), (145, 1)]
12       க       4       180     [(18, 2), (85, 1), (83, 1)]
119      ே       4       175     [(103, 2), (90, 1), (62, 1)]
5        ஊ       4       180     [(48, 3), (33, 1)]
105      தூ      4       182     [(41, 2), (106, 1), (18, 1)]
104      ணூ      4       175     [(116, 3), (115, 1)]
103      டூ      4       174     [(85, 4)]
118      ெ       4       181     [(85, 2), (6, 2)]
83       சு      4       168     [(12, 3), (39, 1)]
68       யீ      4       178     [(67, 1), (66, 1), (45, 1), (20, 1)]
72       ழீ      4       170     [(49, 2), (68, 1), (67, 1)]
46       ரி      3       181     [(69, 1), (48, 1), (36, 1)]
153      ஹ்      3       178     [(33, 3)]
6        எ       3       173     [(118, 1), (29, 1), (7, 1)]
7        ஏ       3       181     [(23, 2), (81, 1)]
152      ஜ்      3       103     [(148, 1), (147, 1), (8, 1)]
150      ஸ்      3       175     [(147, 1), (76, 1), (30, 1)]
148      ற்      3       179     [(143, 1), (139, 1), (19, 1)]
146      ழ்      3       167     [(141, 2), (26, 1)]
143      ர்      3       180     [(18, 2), (148, 1)]
140      ப்      3       180     [(145, 1), (23, 1), (20, 1)]
141      ம்      3       181     [(145, 1), (138, 1), (21, 1)]
43       பி      3       181     [(66, 1), (44, 1), (21, 1)]
93       லு      3       177     [(24, 1), (9, 1), (7, 1)]
89       பு      3       176     [(39, 2), (94, 1)]
109      யூ      3       182     [(107, 1), (100, 1), (9, 1)]
86       ணு      3       180     [(98, 2), (104, 1)]
115      றூ      3       176     [(106, 3)]
67       மீ      3       176     [(103, 2), (66, 1)]
154      க்ஷ்    2       168     [(151, 1), (144, 1)]
14       ச       2       177     [(119, 1), (12, 1)]
97       று      2       176     [(93, 1), (88, 1)]
3        ஈ       2       177     [(155, 1), (69, 1)]
87       து      2       170     [(97, 1), (88, 1)]
70       லீ      2       174     [(47, 2)]
15       ஞ       2       175     [(61, 1), (9, 1)]
30       ஸ       2       104     [(150, 1), (31, 1)]
18       த       2       181     [(64, 1), (28, 1)]
74       றீ      2       173     [(77, 1), (69, 1)]
45       யி      2       182     [(47, 2)]
138      த்      2       180     [(18, 2)]
28       ற       2       177     [(23, 1), (19, 1)]
155      ஔ       2       172     [(115, 1), (104, 1)]
22       ய       1       182     [(20, 1)]
24       ல       1       181     [(6, 1)]
91       யு      1       179     [(89, 1)]
85       டு      1       173     [(103, 1)]
4        உ       1       179     [(5, 1)]
136      ட்      1       182     [(140, 1)]
